Complex number, complex name, wind turbine number (temporary), completion date, classification, address, X-coordinate (GRS80_C_x), Y-coordinate (GRS80_C_y), latitude (lat), longitude (lon), capacity (kW), manufacturer
1,Haengwon,1,11-2,Onshore,"712-3, Haemajihaean-ro, Gujwa-eup, Jeju-si, Jeju Special Self-Governing Province (Jeju University 660)",106838.4045,183229.7698,33.55517175,126.8194101,750,Vestas
1,Haengwon,3,04-3,Onshore,"712-3, Haemajihaean-ro, Gujwa-eup, Jeju-si, Jeju Special Self-Governing Province (Jeju University 660)",107248.6057,183390.2459,33.5588726,126.8211305,660,Vestas
1,Haengwon,5,04-3,Onshore,"712-3, Haemajihaean-ro, Gujwa-eup, Jeju-si, Jeju Special Self-Governing Province (Jeju University 660)",106419.0255,183513.3681,33.55139508,126.8224717,660,Vestas
1,Haengwon,6,04-3,Onshore,"712-3, Haemajihaean-ro, Gujwa-eup, Jeju-si, Jeju Special Self-Governing Province (Jeju University 660)",106583.2261,183242.6679,33.55287129,126.8195537,660,Vestas
1,Haengwon,7,04-12,Onshore,"712-3, Haemajihaean-ro, Gujwa-eup, Jeju-si, Jeju Special Self-Governing Province (Jeju University 660)",106257.7949,183353.9069,33.54993896,126.8207576,1500,Hanjin Industry
1,Haengwon,8,04-12,Onshore,"712-3, Haemajihaean-ro, Gujwa-eup, Jeju-si, Jeju Special Self-Governing Province (Jeju University 660)",106036.955,183298.9313,33.54794703,126.8201698,2000,Unison
1,Haengwon,9,13-11,Onshore,"712-3, Haemajihaean-ro, Gujwa-eup, Jeju-si, Jeju Special Self-Governing Province (Jeju University 660)",107107.5531,182646.4839,33.55758905,126.8131238,1650,Hyundai Electric
1,Haengwon,10,14-4,Onshore,"712-3, Haemajihaean-ro, Gujwa-eup, Jeju-si, Jeju Special Self-Governing Province (Jeju University 660)",107222.0398,182139.5121,33.55861289,126.807662,3000,Doosan Enerbility
1,Haengwon,11,14-10,Onshore,"712-3, Haemajihaean-ro, Gujwa-eup, Jeju-si, Jeju Special Self-Governing Province (Jeju University 660)",107352.5857,183145.2856,33.55980624,126.8184906,660,Vestas
2,Jeonbuk,1,11-7,Onshore,"Buan-gun, Jeollabuk-do",374603.7664,156902.3384,35.96803829,126.5222009,750,Vestas
2,Jeonbuk,2,11-7,Onshore,"Buan-gun, Jeollabuk-do",374419.984,156913.1088,35.9663825,126.5223302,750,Vestas
2,Jeonbuk,3,11-7,Onshore,"Buan-gun, Jeollabuk-do",374236.2221,156924.8786,35.96472695,126.5224707,750,Vestas
2,Jeonbuk,4,11-7,Onshore,"Buan-gun, Jeollabuk-do",374052.4397,156935.6487,35.96307116,126.5226,750,Vestas
2,Jeonbuk,5,11-7,Onshore,"Buan-gun, Jeollabuk-do",373867.6577,156946.4391,35.96140636,126.5227297,750,Vestas
2,Jeonbuk,6,11-7,Onshore,"Buan-gun, Jeollabuk-do",373667.8817,156957.5369,35.95960646,126.5228635,750,Vestas
2,Jeonbuk,7,11-7,Onshore,"Buan-gun, Jeollabuk-do",373472.145,156970.5517,35.95784303,126.5230184,850,Vestas
2,Jeonbuk,8,11-7,Onshore,"Buan-gun, Jeollabuk-do",373271.3694,156981.6697,35.95603412,126.5231525,850,Vestas
2,Jeonbuk,9,11-7,Onshore,"Buan-gun, Jeollabuk-do",373071.6549,156995.7658,35.95423489,126.5233196,850,Vestas
2,Jeonbuk,10,11-7,Onshore,"Buan-gun, Jeollabuk-do",372869.9001,157007.9035,35.95241719,126.523465,850,Vestas
